experiment_resnet18_lr1e-05_outfeatures128_threshold0.4
Train: [0/49632 (0%)]	Loss: 0.339465
Train: [1568/49632 (3%)]	Loss: 0.078256
Train: [1600/49632 (3%)]	Loss: 0.082153
Train: [1632/49632 (3%)]	Loss: 0.075726
Train: [1664/49632 (3%)]	Loss: 0.080921
Train: [1696/49632 (3%)]	Loss: 0.054975
Train: [1728/49632 (3%)]	Loss: 0.068539
Train: [1760/49632 (4%)]	Loss: 0.041535
Train: [1792/49632 (4%)]	Loss: 0.032013
Train: [1824/49632 (4%)]	Loss: 0.071640
Train: [1856/49632 (4%)]	Loss: 0.048441
Train: [1888/49632 (4%)]	Loss: 0.057751
Train: [1920/49632 (4%)]	Loss: 0.074043
Train: [1952/49632 (4%)]	Loss: 0.045569
Train: [1984/49632 (4%)]	Loss: 0.053536
Train: [2016/49632 (4%)]	Loss: 0.047581
Train: [2048/49632 (4%)]	Loss: 0.038445
Train: [2080/49632 (4%)]	Loss: 0.062210
Train: [2112/49632 (4%)]	Loss: 0.064762
Train: [2144/49632 (4%)]	Loss: 0.045967
Train: [2176/49632 (4%)]	Loss: 0.046469
Train: [2208/49632 (4%)]	Loss: 0.028723
Train: [2240/49632 (5%)]	Loss: 0.040172
Train: [2272/49632 (5%)]	Loss: 0.035232
Train: [2304/49632 (5%)]	Loss: 0.061937
Train: [2336/49632 (5%)]	Loss: 0.034817
Train: [2368/49632 (5%)]	Loss: 0.022061
Train: [2400/49632 (5%)]	Loss: 0.028151
Train: [2432/49632 (5%)]	Loss: 0.033246
Train: [2464/49632 (5%)]	Loss: 0.032005
Train: [2496/49632 (5%)]	Loss: 0.029181
Train: [2528/49632 (5%)]	Loss: 0.020541
Train: [2560/49632 (5%)]	Loss: 0.034060
Train: [2592/49632 (5%)]	Loss: 0.052275
Train: [2624/49632 (5%)]	Loss: 0.032556
Train: [2656/49632 (5%)]	Loss: 0.023592
Train: [2688/49632 (5%)]	Loss: 0.030891
Train: [2720/49632 (5%)]	Loss: 0.033429
Train: [2752/49632 (6%)]	Loss: 0.021681
Train: [2784/49632 (6%)]	Loss: 0.013899
Train: [2816/49632 (6%)]	Loss: 0.030417
Train: [2848/49632 (6%)]	Loss: 0.018970
Train: [2880/49632 (6%)]	Loss: 0.042184
Train: [2912/49632 (6%)]	Loss: 0.027691
Train: [2944/49632 (6%)]	Loss: 0.022816
Train: [2976/49632 (6%)]	Loss: 0.024274
Train: [3008/49632 (6%)]	Loss: 0.019047
Train: [3040/49632 (6%)]	Loss: 0.021667
Train: [3072/49632 (6%)]	Loss: 0.021382
Train: [3104/49632 (6%)]	Loss: 0.225894
Train: [3136/49632 (6%)]	Loss: 0.020475
Train: [3168/49632 (6%)]	Loss: 0.013710
Train: [3200/49632 (6%)]	Loss: 0.020992
Train: [3232/49632 (7%)]	Loss: 0.034124
Train: [3264/49632 (7%)]	Loss: 0.019616
Train: [3296/49632 (7%)]	Loss: 0.019807
Train: [3328/49632 (7%)]	Loss: 0.035149
Train: [3360/49632 (7%)]	Loss: 0.019565
Train: [3392/49632 (7%)]	Loss: 0.025690
Train: [3424/49632 (7%)]	Loss: 0.020273
Train: [3456/49632 (7%)]	Loss: 0.022743
Train: [3488/49632 (7%)]	Loss: 0.012839
Train: [3520/49632 (7%)]	Loss: 0.016410
Train: [3552/49632 (7%)]	Loss: 0.017289
Train: [3584/49632 (7%)]	Loss: 0.012922
Train: [3616/49632 (7%)]	Loss: 0.020319
Train: [3648/49632 (7%)]	Loss: 0.021018
Train: [3680/49632 (7%)]	Loss: 0.015185
Train: [3712/49632 (7%)]	Loss: 0.014450
Train: [3744/49632 (8%)]	Loss: 0.017338
Train: [3776/49632 (8%)]	Loss: 0.025689
Train: [3808/49632 (8%)]	Loss: 0.016268
Train: [3840/49632 (8%)]	Loss: 0.021677
Train: [3872/49632 (8%)]	Loss: 0.018844
Train: [3904/49632 (8%)]	Loss: 0.040901
Train: [3936/49632 (8%)]	Loss: 0.012016
Train: [3968/49632 (8%)]	Loss: 0.012075
Train: [4000/49632 (8%)]	Loss: 0.030094
Train: [4032/49632 (8%)]	Loss: 0.013972
Train: [4064/49632 (8%)]	Loss: 0.015205
Train: [4096/49632 (8%)]	Loss: 0.011135
Train: [4128/49632 (8%)]	Loss: 0.017171
Train: [4160/49632 (8%)]	Loss: 0.012028
Train: [4192/49632 (8%)]	Loss: 0.012842
Train: [4224/49632 (9%)]	Loss: 0.012211
Train: [4256/49632 (9%)]	Loss: 0.013380
Train: [4288/49632 (9%)]	Loss: 0.012358
Train: [4320/49632 (9%)]	Loss: 0.010604
Train: [4352/49632 (9%)]	Loss: 0.014478
Train: [4384/49632 (9%)]	Loss: 0.010982
Train: [4416/49632 (9%)]	Loss: 0.012536
Train: [4448/49632 (9%)]	Loss: 0.014942
Train: [4480/49632 (9%)]	Loss: 0.016337
Train: [4512/49632 (9%)]	Loss: 0.018449
Train: [4544/49632 (9%)]	Loss: 0.011490
Train: [4576/49632 (9%)]	Loss: 0.016074
Train: [4608/49632 (9%)]	Loss: 0.016657
Train: [4640/49632 (9%)]	Loss: 0.010183
Train: [4672/49632 (9%)]	Loss: 0.007707
Train: [4704/49632 (9%)]	Loss: 0.011456
Train: [4736/49632 (10%)]	Loss: 0.033962
Train: [4768/49632 (10%)]	Loss: 0.015228
Train: [4800/49632 (10%)]	Loss: 0.010975
Train: [4832/49632 (10%)]	Loss: 0.007522
Train: [4864/49632 (10%)]	Loss: 0.021037
Train: [4896/49632 (10%)]	Loss: 0.014432
Train: [4928/49632 (10%)]	Loss: 0.011288
Train: [4960/49632 (10%)]	Loss: 0.015912
Train: [4992/49632 (10%)]	Loss: 0.016144
Train: [5024/49632 (10%)]	Loss: 0.012880
Train: [5056/49632 (10%)]	Loss: 0.012759
Train: [5088/49632 (10%)]	Loss: 0.010273
Train: [5120/49632 (10%)]	Loss: 0.013706
Train: [5152/49632 (10%)]	Loss: 0.014189
Train: [5184/49632 (10%)]	Loss: 0.013846
Train: [5216/49632 (11%)]	Loss: 0.022010
Train: [5248/49632 (11%)]	Loss: 0.014026
Train: [5280/49632 (11%)]	Loss: 0.013918
Train: [5312/49632 (11%)]	Loss: 0.015373
Train: [5344/49632 (11%)]	Loss: 0.018240
Train: [5376/49632 (11%)]	Loss: 0.011333
Train: [5408/49632 (11%)]	Loss: 0.012090
Train: [5440/49632 (11%)]	Loss: 0.013691
Train: [5472/49632 (11%)]	Loss: 0.007625
Train: [5504/49632 (11%)]	Loss: 0.009875
Train: [5536/49632 (11%)]	Loss: 0.011464
Train: [5568/49632 (11%)]	Loss: 0.009148
Train: [5600/49632 (11%)]	Loss: 0.011865
Train: [5632/49632 (11%)]	Loss: 0.010725
Train: [5664/49632 (11%)]	Loss: 0.009011
Train: [5696/49632 (11%)]	Loss: 0.017042
Train: [5728/49632 (12%)]	Loss: 0.054882
Train: [5760/49632 (12%)]	Loss: 0.015653
Train: [5792/49632 (12%)]	Loss: 0.011635
Train: [5824/49632 (12%)]	Loss: 0.010703
Train: [5856/49632 (12%)]	Loss: 0.011005
Train: [5888/49632 (12%)]	Loss: 0.011756
Train: [5920/49632 (12%)]	Loss: 0.014967
Train: [5952/49632 (12%)]	Loss: 0.016839
Train: [5984/49632 (12%)]	Loss: 0.011593
Train: [6016/49632 (12%)]	Loss: 0.018051
Train: [6048/49632 (12%)]	Loss: 0.014750
Train: [6080/49632 (12%)]	Loss: 0.018962
Train: [6112/49632 (12%)]	Loss: 0.013033
Train: [6144/49632 (12%)]	Loss: 0.010738
Train: [6176/49632 (12%)]	Loss: 0.012645
Train: [6208/49632 (13%)]	Loss: 0.009277
Train: [6240/49632 (13%)]	Loss: 0.012734
Train: [6272/49632 (13%)]	Loss: 0.008426
Train: [6304/49632 (13%)]	Loss: 0.010971
Train: [6336/49632 (13%)]	Loss: 0.012139
Train: [6368/49632 (13%)]	Loss: 0.010217
Train: [6400/49632 (13%)]	Loss: 0.015029
Train: [6432/49632 (13%)]	Loss: 0.012119
Train: [6464/49632 (13%)]	Loss: 0.005733
Train: [6496/49632 (13%)]	Loss: 0.006933
Train: [6528/49632 (13%)]	Loss: 0.009910
Train: [6560/49632 (13%)]	Loss: 0.016033
Train: [6592/49632 (13%)]	Loss: 0.015795
Train: [6624/49632 (13%)]	Loss: 0.007870
Train: [6656/49632 (13%)]	Loss: 0.008102
Train: [6688/49632 (13%)]	Loss: 0.014182
Train: [6720/49632 (14%)]	Loss: 0.008417
Train: [6752/49632 (14%)]	Loss: 0.015130
Train: [6784/49632 (14%)]	Loss: 0.011397
Train: [6816/49632 (14%)]	Loss: 0.009757
Train: [6848/49632 (14%)]	Loss: 0.011617
Train: [6880/49632 (14%)]	Loss: 0.011734
Train: [6912/49632 (14%)]	Loss: 0.007718
Train: [6944/49632 (14%)]	Loss: 0.008048
Train: [6976/49632 (14%)]	Loss: 0.009377
Train: [7008/49632 (14%)]	Loss: 0.008420
Train: [7040/49632 (14%)]	Loss: 0.010779
Train: [7072/49632 (14%)]	Loss: 0.007563
Train: [7104/49632 (14%)]	Loss: 0.007623
Train: [7136/49632 (14%)]	Loss: 0.020229
Train: [7168/49632 (14%)]	Loss: 0.023693
Train: [7200/49632 (15%)]	Loss: 0.009955
Train: [7232/49632 (15%)]	Loss: 0.007085
Train: [7264/49632 (15%)]	Loss: 0.006855
Train: [7296/49632 (15%)]	Loss: 0.007472
Train: [7328/49632 (15%)]	Loss: 0.010702
Train: [7360/49632 (15%)]	Loss: 0.021564
Train: [7392/49632 (15%)]	Loss: 0.006767
Train: [7424/49632 (15%)]	Loss: 0.011586
Train: [7456/49632 (15%)]	Loss: 0.009760
Train: [7488/49632 (15%)]	Loss: 0.012477
Train: [7520/49632 (15%)]	Loss: 0.010585
Train: [7552/49632 (15%)]	Loss: 0.010794
Train: [7584/49632 (15%)]	Loss: 0.031139
Train: [7616/49632 (15%)]	Loss: 0.007713
Train: [7648/49632 (15%)]	Loss: 0.006119
Train: [7680/49632 (15%)]	Loss: 0.012292
Train: [7712/49632 (16%)]	Loss: 0.013351
Train: [7744/49632 (16%)]	Loss: 0.009202
Train: [7776/49632 (16%)]	Loss: 0.012921
Train: [7808/49632 (16%)]	Loss: 0.011875
Train: [7840/49632 (16%)]	Loss: 0.007158
Train: [7872/49632 (16%)]	Loss: 0.007002
Train: [7904/49632 (16%)]	Loss: 0.007741
Train: [7936/49632 (16%)]	Loss: 0.010701
Train: [7968/49632 (16%)]	Loss: 0.007679
Train: [8000/49632 (16%)]	Loss: 0.007870
Train: [8032/49632 (16%)]	Loss: 0.004968
Train: [8064/49632 (16%)]	Loss: 0.009432
Train: [8096/49632 (16%)]	Loss: 0.009876
Train: [8128/49632 (16%)]	Loss: 0.008583
Train: [8160/49632 (16%)]	Loss: 0.005977
Train: [8192/49632 (17%)]	Loss: 0.009900
Train: [8224/49632 (17%)]	Loss: 0.007462
Train: [8256/49632 (17%)]	Loss: 0.011750
Train: [8288/49632 (17%)]	Loss: 0.011175
Train: [8320/49632 (17%)]	Loss: 0.006300
Train: [8352/49632 (17%)]	Loss: 0.005473
Train: [8384/49632 (17%)]	Loss: 0.020726
Train: [8416/49632 (17%)]	Loss: 0.006100
Train: [8448/49632 (17%)]	Loss: 0.014888
Train: [8480/49632 (17%)]	Loss: 0.006140
Train: [8512/49632 (17%)]	Loss: 0.004079
Train: [8544/49632 (17%)]	Loss: 0.010904
Train: [8576/49632 (17%)]	Loss: 0.006443
Train: [8608/49632 (17%)]	Loss: 0.007518
Train: [8640/49632 (17%)]	Loss: 0.038949
Train: [8672/49632 (17%)]	Loss: 0.007357
Train: [8704/49632 (18%)]	Loss: 0.005710
Train: [8736/49632 (18%)]	Loss: 0.011427
Train: [8768/49632 (18%)]	Loss: 0.009578
Train: [8800/49632 (18%)]	Loss: 0.008073
Train: [8832/49632 (18%)]	Loss: 0.006538
Train: [8864/49632 (18%)]	Loss: 0.011826
Train: [8896/49632 (18%)]	Loss: 0.011145
Train: [8928/49632 (18%)]	Loss: 0.005380
Train: [8960/49632 (18%)]	Loss: 0.006910
Train: [8992/49632 (18%)]	Loss: 0.019007
Train: [9024/49632 (18%)]	Loss: 0.004380
Train: [9056/49632 (18%)]	Loss: 0.006817
Train: [9088/49632 (18%)]	Loss: 0.005200
Train: [9120/49632 (18%)]	Loss: 0.007249
Train: [9152/49632 (18%)]	Loss: 0.007506
Train: [9184/49632 (19%)]	Loss: 0.008472
Train: [9216/49632 (19%)]	Loss: 0.007220
Train: [9248/49632 (19%)]	Loss: 0.007627
Train: [9280/49632 (19%)]	Loss: 0.004774
Train: [9312/49632 (19%)]	Loss: 0.006616
Train: [9344/49632 (19%)]	Loss: 0.005789
Train: [9376/49632 (19%)]	Loss: 0.018426
Train: [9408/49632 (19%)]	Loss: 0.013869
Train: [9440/49632 (19%)]	Loss: 0.006346
Train: [9472/49632 (19%)]	Loss: 0.005151
Train: [9504/49632 (19%)]	Loss: 0.006748
Train: [9536/49632 (19%)]	Loss: 0.004138
Train: [9568/49632 (19%)]	Loss: 0.008987
Train: [9600/49632 (19%)]	Loss: 0.007741
Train: [9632/49632 (19%)]	Loss: 0.005189
Train: [9664/49632 (19%)]	Loss: 0.005284
Train: [9696/49632 (20%)]	Loss: 0.008698
Train: [9728/49632 (20%)]	Loss: 0.005874
Train: [9760/49632 (20%)]	Loss: 0.005951
Train: [9792/49632 (20%)]	Loss: 0.007282
Train: [9824/49632 (20%)]	Loss: 0.006818
Train: [9856/49632 (20%)]	Loss: 0.009661
Train: [9888/49632 (20%)]	Loss: 0.006419
Train: [9920/49632 (20%)]	Loss: 0.006431
Train: [9952/49632 (20%)]	Loss: 0.006711
Train: [9984/49632 (20%)]	Loss: 0.013949
Train: [10016/49632 (20%)]	Loss: 0.005706
Train: [10048/49632 (20%)]	Loss: 0.005506
Train: [10080/49632 (20%)]	Loss: 0.004954
Train: [10112/49632 (20%)]	Loss: 0.005871
Train: [10144/49632 (20%)]	Loss: 0.005900
Train: [10176/49632 (21%)]	Loss: 0.005102
Train: [10208/49632 (21%)]	Loss: 0.004510
Train: [10240/49632 (21%)]	Loss: 0.005839
Train: [10272/49632 (21%)]	Loss: 0.004925
Train: [10304/49632 (21%)]	Loss: 0.006276
Train: [10336/49632 (21%)]	Loss: 0.004075
Train: [10368/49632 (21%)]	Loss: 0.005203
Train: [10400/49632 (21%)]	Loss: 0.004906
Train: [10432/49632 (21%)]	Loss: 0.006207
Train: [10464/49632 (21%)]	Loss: 0.005194
Train: [10496/49632 (21%)]	Loss: 0.003542
Train: [10528/49632 (21%)]	Loss: 0.005148
Train: [10560/49632 (21%)]	Loss: 0.005982
Train: [10592/49632 (21%)]	Loss: 0.005290
Train: [10624/49632 (21%)]	Loss: 0.005417
Train: [10656/49632 (21%)]	Loss: 0.005498
Train: [10688/49632 (22%)]	Loss: 0.006432
Train: [10720/49632 (22%)]	Loss: 0.004521
Train: [10752/49632 (22%)]	Loss: 0.005036
Train: [10784/49632 (22%)]	Loss: 0.051999
Train: [10816/49632 (22%)]	Loss: 0.008654
Train: [10848/49632 (22%)]	Loss: 0.013158
Train: [10880/49632 (22%)]	Loss: 0.009026
Train: [10912/49632 (22%)]	Loss: 0.008236
Train: [10944/49632 (22%)]	Loss: 0.011665
Train: [10976/49632 (22%)]	Loss: 0.011237
Train: [11008/49632 (22%)]	Loss: 0.005556
Train: [11040/49632 (22%)]	Loss: 0.008497
Train: [11072/49632 (22%)]	Loss: 0.007961
Train: [11104/49632 (22%)]	Loss: 0.010618
Train: [11136/49632 (22%)]	Loss: 0.005476
Train: [11168/49632 (23%)]	Loss: 0.005657
Train: [11200/49632 (23%)]	Loss: 0.008265
Train: [11232/49632 (23%)]	Loss: 0.028084
Train: [11264/49632 (23%)]	Loss: 0.013110
Train: [11296/49632 (23%)]	Loss: 0.012517
Train: [11328/49632 (23%)]	Loss: 0.010202
Train: [11360/49632 (23%)]	Loss: 0.008077
Train: [11392/49632 (23%)]	Loss: 0.005378
Train: [11424/49632 (23%)]	Loss: 0.017801
Train: [11456/49632 (23%)]	Loss: 0.006731
Train: [11488/49632 (23%)]	Loss: 0.008232
Train: [11520/49632 (23%)]	Loss: 0.009326
Train: [11552/49632 (23%)]	Loss: 0.005522
Train: [11584/49632 (23%)]	Loss: 0.009724
Train: [11616/49632 (23%)]	Loss: 0.008415
Train: [11648/49632 (23%)]	Loss: 0.006322
Train: [11680/49632 (24%)]	Loss: 0.006926
Train: [11712/49632 (24%)]	Loss: 0.004908
Train: [11744/49632 (24%)]	Loss: 0.008224
Train: [11776/49632 (24%)]	Loss: 0.005904
Train: [11808/49632 (24%)]	Loss: 0.006871
Train: [11840/49632 (24%)]	Loss: 0.009019
Train: [11872/49632 (24%)]	Loss: 0.006413
Train: [11904/49632 (24%)]	Loss: 0.004413
Train: [11936/49632 (24%)]	Loss: 0.006113
Train: [11968/49632 (24%)]	Loss: 0.011121
Train: [12000/49632 (24%)]	Loss: 0.005445
Train: [12032/49632 (24%)]	Loss: 0.006430
Train: [12064/49632 (24%)]	Loss: 0.005777
Train: [12096/49632 (24%)]	Loss: 0.006654
Train: [12128/49632 (24%)]	Loss: 0.004035
Train: [12160/49632 (25%)]	Loss: 0.004102
Train: [12192/49632 (25%)]	Loss: 0.004668
Train: [12224/49632 (25%)]	Loss: 0.004678
Train: [12256/49632 (25%)]	Loss: 0.007825
Train: [12288/49632 (25%)]	Loss: 0.003543
Train: [12320/49632 (25%)]	Loss: 0.004069
Train: [12352/49632 (25%)]	Loss: 0.005339
Train: [12384/49632 (25%)]	Loss: 0.004669
Train: [12416/49632 (25%)]	Loss: 0.006582
Train: [12448/49632 (25%)]	Loss: 0.003581
Train: [12480/49632 (25%)]	Loss: 0.003619
Train: [12512/49632 (25%)]	Loss: 0.003862
Train: [12544/49632 (25%)]	Loss: 0.004860
Train: [12576/49632 (25%)]	Loss: 0.008748
Train: [12608/49632 (25%)]	Loss: 0.003821
Train: [12640/49632 (25%)]	Loss: 0.004140
Train: [12672/49632 (26%)]	Loss: 0.005187
Train: [12704/49632 (26%)]	Loss: 0.004500
Train: [12736/49632 (26%)]	Loss: 0.003931
Train: [12768/49632 (26%)]	Loss: 0.004047
Train: [12800/49632 (26%)]	Loss: 0.005108
Train: [12832/49632 (26%)]	Loss: 0.022575
Train: [12864/49632 (26%)]	Loss: 0.003478
Train: [12896/49632 (26%)]	Loss: 0.004997
Train: [12928/49632 (26%)]	Loss: 0.003796
Train: [12960/49632 (26%)]	Loss: 0.005328
Train: [12992/49632 (26%)]	Loss: 0.006220
Train: [13024/49632 (26%)]	Loss: 0.007429
Train: [13056/49632 (26%)]	Loss: 0.006072
Train: [13088/49632 (26%)]	Loss: 0.003852
Train: [13120/49632 (26%)]	Loss: 0.004718
Train: [13152/49632 (26%)]	Loss: 0.003748
Train: [13184/49632 (27%)]	Loss: 0.003473
Train: [13216/49632 (27%)]	Loss: 0.005666
Train: [13248/49632 (27%)]	Loss: 0.003763
Train: [13280/49632 (27%)]	Loss: 0.005445
Train: [13312/49632 (27%)]	Loss: 0.004247
Train: [13344/49632 (27%)]	Loss: 0.005491
Train: [13376/49632 (27%)]	Loss: 0.006051
Train: [13408/49632 (27%)]	Loss: 0.005327
Train: [13440/49632 (27%)]	Loss: 0.003395
Train: [13472/49632 (27%)]	Loss: 0.004059
Train: [13504/49632 (27%)]	Loss: 0.003972
Train: [13536/49632 (27%)]	Loss: 0.004244
Train: [13568/49632 (27%)]	Loss: 0.003375
Train: [13600/49632 (27%)]	Loss: 0.003238
Train: [13632/49632 (27%)]	Loss: 0.004641
Train: [13664/49632 (28%)]	Loss: 0.003093
Train: [13696/49632 (28%)]	Loss: 0.003419
Train: [13728/49632 (28%)]	Loss: 0.004050
Train: [13760/49632 (28%)]	Loss: 0.006443
Train: [13792/49632 (28%)]	Loss: 0.006202
Train: [13824/49632 (28%)]	Loss: 0.004650
Train: [13856/49632 (28%)]	Loss: 0.004332
Train: [13888/49632 (28%)]	Loss: 0.004086
Train: [13920/49632 (28%)]	Loss: 0.004331
Train: [13952/49632 (28%)]	Loss: 0.004511
Train: [13984/49632 (28%)]	Loss: 0.007890
Train: [14016/49632 (28%)]	Loss: 0.003314
Train: [14048/49632 (28%)]	Loss: 0.005122
Train: [14080/49632 (28%)]	Loss: 0.004284
Train: [14112/49632 (28%)]	Loss: 0.005555
Train: [14144/49632 (28%)]	Loss: 0.004008
Train: [14176/49632 (29%)]	Loss: 0.003126
Train: [14208/49632 (29%)]	Loss: 0.004426
Train: [14240/49632 (29%)]	Loss: 0.004281
Train: [14272/49632 (29%)]	Loss: 0.004374
Train: [14304/49632 (29%)]	Loss: 0.004396
Train: [14336/49632 (29%)]	Loss: 0.003940
Train: [14368/49632 (29%)]	Loss: 0.003964
Train: [14400/49632 (29%)]	Loss: 0.005024
Train: [14432/49632 (29%)]	Loss: 0.003609
Train: [14464/49632 (29%)]	Loss: 0.002571
Train: [14496/49632 (29%)]	Loss: 0.003735
Train: [14528/49632 (29%)]	Loss: 0.004106
Train: [14560/49632 (29%)]	Loss: 0.003083
Train: [14592/49632 (29%)]	Loss: 0.003556
Train: [14624/49632 (29%)]	Loss: 0.004385
Train: [14656/49632 (30%)]	Loss: 0.003232
Train: [14688/49632 (30%)]	Loss: 0.002947
Train: [14720/49632 (30%)]	Loss: 0.004023
Train: [14752/49632 (30%)]	Loss: 0.004342
Train: [14784/49632 (30%)]	Loss: 0.005781
Train: [14816/49632 (30%)]	Loss: 0.003459
Train: [14848/49632 (30%)]	Loss: 0.005951
Train: [14880/49632 (30%)]	Loss: 0.003718
Train: [14912/49632 (30%)]	Loss: 0.006817
Train: [14944/49632 (30%)]	Loss: 0.003994
Train: [14976/49632 (30%)]	Loss: 0.004207
Train: [15008/49632 (30%)]	Loss: 0.002283
Train: [15040/49632 (30%)]	Loss: 0.003870
Train: [15072/49632 (30%)]	Loss: 0.003519
Train: [15104/49632 (30%)]	Loss: 0.004194
Train: [15136/49632 (30%)]	Loss: 0.004013
Train: [15168/49632 (31%)]	Loss: 0.003627
Train: [15200/49632 (31%)]	Loss: 0.003706
Train: [15232/49632 (31%)]	Loss: 0.003588
Train: [15264/49632 (31%)]	Loss: 0.007152
Train: [15296/49632 (31%)]	Loss: 0.003708
Train: [15328/49632 (31%)]	Loss: 0.004784
Train: [15360/49632 (31%)]	Loss: 0.002863
Train: [15392/49632 (31%)]	Loss: 0.003778
Train: [15424/49632 (31%)]	Loss: 0.004393
Train: [15456/49632 (31%)]	Loss: 0.002754
Train: [15488/49632 (31%)]	Loss: 0.003768
Train: [15520/49632 (31%)]	Loss: 0.003010
Train: [15552/49632 (31%)]	Loss: 0.002730
Train: [15584/49632 (31%)]	Loss: 0.003457
Train: [15616/49632 (31%)]	Loss: 0.004051
Train: [15648/49632 (32%)]	Loss: 0.003738
Train: [15680/49632 (32%)]	Loss: 0.003608
Train: [15712/49632 (32%)]	Loss: 0.002715
Train: [15744/49632 (32%)]	Loss: 0.003845
Train: [15776/49632 (32%)]	Loss: 0.002275
Train: [15808/49632 (32%)]	Loss: 0.002568
Train: [15840/49632 (32%)]	Loss: 0.002695
Train: [15872/49632 (32%)]	Loss: 0.004220
Train: [15904/49632 (32%)]	Loss: 0.002760
Train: [15936/49632 (32%)]	Loss: 0.005211
Train: [15968/49632 (32%)]	Loss: 0.005047
Train: [16000/49632 (32%)]	Loss: 0.003416
Train: [16032/49632 (32%)]	Loss: 0.003057
Train: [16064/49632 (32%)]	Loss: 0.003653
Train: [16096/49632 (32%)]	Loss: 0.003759
Train: [16128/49632 (32%)]	Loss: 0.004281
Train: [16160/49632 (33%)]	Loss: 0.002747
Train: [16192/49632 (33%)]	Loss: 0.003374
Train: [16224/49632 (33%)]	Loss: 0.003393
Train: [16256/49632 (33%)]	Loss: 0.003324
Train: [16288/49632 (33%)]	Loss: 0.002533
Train: [16320/49632 (33%)]	Loss: 0.002668
Train: [16352/49632 (33%)]	Loss: 0.002812
Train: [16384/49632 (33%)]	Loss: 0.003848
Train: [16416/49632 (33%)]	Loss: 0.004391
Train: [16448/49632 (33%)]	Loss: 0.004185
Train: [16480/49632 (33%)]	Loss: 0.002341
Train: [16512/49632 (33%)]	Loss: 0.003432
Train: [16544/49632 (33%)]	Loss: 0.004375
Train: [16576/49632 (33%)]	Loss: 0.002429
Train: [16608/49632 (33%)]	Loss: 0.002932
Train: [16640/49632 (34%)]	Loss: 0.003512
Train: [16672/49632 (34%)]	Loss: 0.002968
Train: [16704/49632 (34%)]	Loss: 0.015940
Train: [16736/49632 (34%)]	Loss: 0.004443
Train: [16768/49632 (34%)]	Loss: 0.003643
Train: [16800/49632 (34%)]	Loss: 0.004459
Train: [16832/49632 (34%)]	Loss: 0.004818
Train: [16864/49632 (34%)]	Loss: 0.006563
Train: [16896/49632 (34%)]	Loss: 0.003519
Train: [16928/49632 (34%)]	Loss: 0.007067
Train: [16960/49632 (34%)]	Loss: 0.006068
Train: [16992/49632 (34%)]	Loss: 0.003042
Train: [17024/49632 (34%)]	Loss: 0.002996
Train: [17056/49632 (34%)]	Loss: 0.003369
Train: [17088/49632 (34%)]	Loss: 0.004176
Train: [17120/49632 (34%)]	Loss: 0.003318
